Date,Open,High,Low,Close,Volume,Marketcap,
2025-01-24,103965.6697,107098.5452,102772.1242,104819.4845,52388229265,2076960000000 ,
2025-01-23,103657.6746,106820.3288,101257.8032,103960.1716,1.04E+11,2059820000000 ,
2025-01-22,106136.3833,106294.3401,103360.2693,103653.0692,53878181052,2053850000000 ,
2025-01-21,102052.5753,107180.9249,100103.9558,106146.263,88733878242,2102920000000 ,
2025-01-20,101083.7535,109114.8848,99471.35894,102016.6623,1.26E+11,2021960000000 ,
2025-01-19,104411.2868,106299.7985,99570.53118,101089.6065,76789928525,2002720000000 ,
2025-01-18,104124.9546,104913.2062,102226.6203,104408.0673,50445655726,2068580000000 ,
2025-01-17,100025.7651,105884.2304,99948.90506,104462.0426,71888972663,2069340000000 ,
2025-01-16,100505.2987,100781.5891,97364.44308,99756.9091,54103781805,1975940000000 ,
2025-01-15,96534.04597,100697.2344,96501.64439,100504.4934,57805923627,1991110000000 ,
2025-01-14,94519.00714,97352.66475,94322.1545,96534.04421,53769675818,1912470000000 ,
2025-01-13,94488.89217,95837.00023,89260.10019,94516.52563,72978998252,1872380000000 ,
2025-01-12,94565.72583,95367.5363,93712.51167,94488.44106,20885130965,1871770000000 ,
2025-01-11,94700.83805,94977.68766,93840.04352,94566.59368,18860894100,1873240000000 ,
2025-01-10,92494.49151,95770.6116,92250.09274,94701.45646,62058693684,1875890000000 ,
2025-01-09,95043.48764,95349.72146,91220.84226,92484.03697,62777261693,1832170000000 ,
2025-01-08,96924.16497,97258.32175,92525.84456,95043.52346,63875859171,1882570000000 ,
2025-01-07,102248.8525,102712.4857,96132.8747,96922.70528,58685738547,1919790000000 ,
2025-01-06,98314.95696,102482.8739,97926.14852,102078.0856,51823432705,2021810000000 ,
2025-01-05,98233.90578,98813.30855,97291.76461,98314.95944,20525254825,1947190000000 ,
2025-01-04,98106.99355,98734.42818,97562.97597,98236.22909,22342608078,1945650000000 ,
2025-01-03,96881.72902,98956.91704,96034.61406,98107.42876,35611391163,1943220000000 ,
2025-01-02,94416.28655,97739.81684,94201.57042,96886.87827,46009564411,1918730000000 ,
2025-01-01,93425.10214,94929.86481,92788.12788,94419.75751,24519888919,1869850000000 ,
2024-12-31,92643.25122,96090.60379,91914.02778,93429.20281,43625106843,1850180000000 ,
2024-12-30,93527.1975,94903.3239,91317.13546,92643.2146,56188003691,1834640000000 ,
2024-12-29,95174.05512,95174.8784,92881.79187,93530.22844,29635885267,1852120000000 ,
2024-12-28,94160.18622,95525.89852,94014.2865,95163.93193,24107436185,1884680000000 ,
2024-12-27,95704.97459,97294.84642,93310.7438,94164.86035,52419934565,1864540000000 ,
2024-12-26,99297.69701,99884.57217,95137.8853,95795.5166,47054980873,1896940000000 ,
2024-12-25,98675.91086,99478.74902,97593.47017,99299.19275,33700394629,1966210000000 ,
2024-12-24,94684.34755,99404.06132,93448.01394,98676.0974,47114953674,1953850000000 ,
2024-12-23,95099.39195,96416.21393,92403.13138,94686.23944,65239002919,1875310000000 ,
2024-12-22,97218.31827,97360.2647,94202.18625,95104.93437,43147981314,1882950000000 ,
2024-12-21,97756.1922,99507.09859,96426.52074,97224.72634,51765334294,1924860000000 ,
2024-12-20,97484.69731,98098.91131,92175.18045,97755.93016,1.06E+11,1935460000000 ,
2024-12-19,100070.6874,102748.1508,95587.6815,97490.94998,97221662392,1930040000000 ,
2024-12-18,106147.2953,106470.6064,100041.5427,100041.5427,93865656139,1982990000000 ,
2024-12-17,106030.6906,108268.4471,105291.7379,106140.5982,68589364868,2101340000000 ,
2024-12-16,104293.5765,107780.5796,103322.9828,106029.7206,91020417816,2099100000000 ,
2024-12-15,101373.533,105047.5419,101227.0278,104298.6958,51145914137,2065140000000 ,
2024-12-14,101451.44,102618.8846,100634.0575,101372.9661,40422968793,2006810000000 ,
2024-12-13,100046.6505,101888.8084,99233.27805,101459.2544,56894751583,2008420000000 ,
2024-12-12,101167.807,102524.9103,99339.94993,100042.9979,72073983533,1980440000000 ,
